id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2025-01-05 17:00:00;13241.084
S;SUL;2025-01-05 17:00:00;12416.01
SE;SUDESTE;2025-01-05 17:00:00;41506.371
N;NORTE;2025-01-05 18:00:00;7221.43499999
NE;NORDESTE;2025-01-05 18:00:00;14521.054
S;SUL;2025-01-05 18:00:00;13172.83199999
SE;SUDESTE;2025-01-05 18:00:00;43529.24399999
N;NORTE;2025-01-05 19:00:00;7577.89399999
NE;NORDESTE;2025-01-05 19:00:00;14696.408
S;SUL;2025-01-05 19:00:00;13968.54999999
SE;SUDESTE;2025-01-05 19:00:00;45985.931
N;NORTE;2025-01-05 20:00:00;7666.417
NE;NORDESTE;2025-01-05 20:00:00;14657.689
S;SUL;2025-01-05 20:00:00;14885.33299999
SE;SUDESTE;2025-01-05 20:00:00;46479.018
N;NORTE;2025-01-05 21:00:00;7633.146
NE;NORDESTE;2025-01-05 21:00:00;14942.106
S;SUL;2025-01-05 21:00:00;14571.104
SE;SUDESTE;2025-01-05 21:00:00;45882.70999999
N;NORTE;2025-01-05 22:00:00;7850.279
NE;NORDESTE;2025-01-05 22:00:00;15092.214
S;SUL;2025-01-05 22:00:00;14106.607
SE;SUDESTE;2025-01-05 22:00:00;44611.526
N;NORTE;2025-01-05 23:00:00;7914.056
NE;NORDESTE;2025-01-05 23:00:00;14901.597
S;SUL;2025-01-05 23:00:00;13327.35899999
SE;SUDESTE;2025-01-05 23:00:00;42704.92
N;NORTE;2025-01-06 00:00:00;7797.163
NE;NORDESTE;2025-01-06 00:00:00;14521.39599999
S;SUL;2025-01-06 00:00:00;12491.603
SE;SUDESTE;2025-01-06 00:00:00;40586.53299999
N;NORTE;2025-01-06 01:00:00;7721.669
NE;NORDESTE;2025-01-06 01:00:00;14220.322
S;SUL;2025-01-06 01:00:00;11894.371
SE;SUDESTE;2025-01-06 01:00:00;38806.001
N;NORTE;2025-01-06 02:00:00;7589.711
NE;NORDESTE;2025-01-06 02:00:00;13890.92099999
S;SUL;2025-01-06 02:00:00;11447.614
SE;SUDESTE;2025-01-06 02:00:00;37690.474
N;NORTE;2025-01-06 03:00:00;7383.233
NE;NORDESTE;2025-01-06 03:00:00;13603.22
S;SUL;2025-01-06 03:00:00;11243.31099999
SE;SUDESTE;2025-01-06 03:00:00;37073.697
N;NORTE;2025-01-06 04:00:00;7288.855
NE;NORDESTE;2025-01-06 04:00:00;13409.85599999
S;SUL;2025-01-06 04:00:00;11180.175
SE;SUDESTE;2025-01-06 04:00:00;37140.95599999
N;NORTE;2025-01-06 05:00:00;7226.039
NE;NORDESTE;2025-01-06 05:00:00;12854.108
S;SUL;2025-01-06 05:00:00;11456.615
SE;SUDESTE;2025-01-06 05:00:00;37553.10299999
N;NORTE;2025-01-06 06:00:00;7050.34299999
NE;NORDESTE;2025-01-06 06:00:00;12523.188
S;SUL;2025-01-06 06:00:00;12420.495
SE;SUDESTE;2025-01-06 06:00:00;39424.79699999
N;NORTE;2025-01-06 07:00:00;7040.343
NE;NORDESTE;2025-01-06 07:00:00;13244.71299999
S;SUL;2025-01-06 07:00:00;13815.12299999
SE;SUDESTE;2025-01-06 07:00:00;42418.624
N;NORTE;2025-01-06 08:00:00;7356.342
NE;NORDESTE;2025-01-06 08:00:00;14233.283
