id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SE;SUDESTE/CENTRO-OESTE;2025-01-02 21:00:00;34844.188;4496.802;6.0;0.0;48556.001;-9209.011
S;SUL;2025-01-02 21:00:00;10441.707;38.753;836.678;1.0;15465.006;-4146.868
NE;NORDESTE;2025-01-02 22:00:00;3436.14099999;444.434;17231.88999999;0.0;15825.67199999;5286.793
N;NORTE;2025-01-02 22:00:00;13082.931;1505.789;385.608;0.0;8265.787;6708.541
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 22:00:00;60742.642;6475.944;18351.2;1.0;85570.79;0.0
SE;SUDESTE/CENTRO-OESTE;2025-01-02 22:00:00;33632.39999999;4490.099;6.0;0.0;46548.32599999;-8419.827
S;SUL;2025-01-02 22:00:00;10591.17;35.622;727.702;1.0;14931.00099999;-3575.507
NE;NORDESTE;2025-01-02 23:00:00;3076.624;443.984;16982.445;0.0;15540.362;4962.691
N;NORTE;2025-01-02 23:00:00;12973.912;1507.066;380.237;0.0;8256.72899999;6604.486
SIN;SISTEMA INTERLIGADO NACIONAL;2025-01-02 23:00:00;57418.189;6485.297;18009.21;1.0;81913.7;0.0
